[2026-03-04 12:52:45] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:52:45] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:52:45] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:52:45] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:53:03] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:53:24] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:55:08] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:55:08] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:55:08] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:55:08] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:55:08] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
