cwe_id,base_score_mean,base_score_max,base_score_std,confidentiality_impact_numeric_mean,integrity_impact_numeric_mean,availability_impact_numeric_mean,attack_vector_<lambda>,privileges_required_<lambda>,user_interaction_<lambda>,cve_count,av_weight,pr_weight,actual_risk_score
CWE-776,6.993333333333334,9.8,1.178524306168475,0.7333333333333333,0.23333333333333334,2.3333333333333335,NETWORK,NONE,NONE,30,1.5,1.2,12.588000000000003
CWE-78,8.663917525773197,10.0,1.129849933996471,2.947839046199702,2.9443616492796822,2.936910084451068,NETWORK,NONE,NONE,2037,1.5,1.2,15.595051546391755
CWE-787,7.943810617662073,10.0,1.31484527613933,2.3659046374918353,2.3524493794905292,2.9350496602195504,NETWORK,NONE,NONE,7836,1.5,1.2,14.29885911179173
CWE-788,6.0,7.8,1.6046806535881213,1.0,1.0,3.0,NETWORK,N/A,N/A,5,1.5,1.0,9.0
CWE-789,6.375,7.5,1.2419742348374223,0.0,0.0,3.0,NETWORK,LOW,NONE,4,1.5,1.0,9.5625
CWE-79,5.6910581683168315,9.9,0.7549709596145612,1.0338956817830058,1.0421714818266543,0.05989784863024299,NETWORK,LOW,REQUIRED,12928,1.5,1.0,8.536587252475247
CWE-791,4.8,6.3,2.1213203435596424,0.5,1.0,0.5,LOCAL,LOW,NONE,2,1.0,1.0,4.8
CWE-798,8.403248587570621,10.0,1.6158525708621418,2.7929078014184396,2.2212765957446807,2.097872340425532,NETWORK,NONE,NONE,708,1.5,1.2,15.125847457627117
CWE-799,7.3,7.3,0.0,1.0,1.0,1.0,NETWORK,NONE,NONE,1,1.5,1.2,13.139999999999999
CWE-80,5.623529411764706,6.4,0.9003675719981714,1.0,0.8823529411764706,0.0,NETWORK,LOW,REQUIRED,17,1.5,1.0,8.435294117647059
CWE-804,5.3,5.3,0.0,0.0,1.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,9.54
CWE-805,7.1,7.7,0.9027735042633899,0.6,0.0,2.4,ADJACENT_NETWORK,NONE,NONE,5,1.2,1.2,10.223999999999998
CWE-807,4.3,4.3,0.0,0.0,1.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,6.449999999999999
CWE-822,7.633333333333333,8.4,0.8621678104251708,3.0,3.0,3.0,LOCAL,NONE,NONE,3,1.0,1.2,9.159999999999998
CWE-823,7.3999999999999995,8.8,1.1436782764396638,2.5,2.5,3.0,LOCAL,NONE,NONE,6,1.0,1.2,8.879999999999999
CWE-824,6.832173913043479,9.8,1.5328878734750415,2.045045045045045,1.5625,2.3392857142857144,LOCAL,NONE,REQUIRED,115,1.0,1.2,8.198608695652174
CWE-825,6.5,6.5,0.0,0.0,0.0,3.0,ADJACENT_NETWORK,NONE,NONE,1,1.2,1.2,9.36
CWE-826,7.5,7.5,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-829,7.784,10.0,1.4982007226688305,2.48,2.24,2.08,NETWORK,NONE,NONE,75,1.5,1.2,14.0112
CWE-83,6.1,6.1,0.0,1.0,1.0,0.0,NETWORK,NONE,REQUIRED,1,1.5,1.2,10.979999999999999
CWE-833,5.9,5.9,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,10.620000000000001
CWE-834,6.564705882352941,7.5,1.1135208569004125,0.0,0.0,2.757575757575758,NETWORK,NONE,NONE,34,1.5,1.2,11.816470588235294
CWE-835,6.625099601593626,9.1,1.0445130396696067,0.01195219123505976,0.02390438247011952,2.9477911646586343,NETWORK,NONE,NONE,251,1.5,1.2,11.925179282868527
